song,artist
Ask The Lonely,Journey
Run Runaway,Slade
Pink Houses,John Cougar Mellencamp
She Was Hot,The Rolling Stones
Blue Jean,David Bowie
Got a Hold on Me,Christine McVie
Too Late for Goodbyes,Julian Lennon
I Can't Hold Back,Survivor
Do It Again,The Kinks
Cover Me,Bruce Springsteen
No Way Out,Jefferson Starship
Walking In My Sleep,Roger Daltrey
Nobody Told Me,John Lennon
Drive,The Cars
Had A Dream (Sleeping With The Enemy),Roger Hodgson
It Can Happen,Yes
Runaway,Bon Jovi
Two Sides Of Love,Sammy Hagar
Pride (In the Name of Love),U2
I Do'wanna Know,REO Speedwagon
Changes,Yes
Layin' It On The Line,Jefferson Starship
Rock Me Tonite,Billy Squier
Runner,Manfred Mann
Time The Avenger,The Pretenders
If Love Should Go,Streets
Girls With Guns,Tommy Shaw
Are We Ourselves?,The Fixx
New Girl Now,Honeymoon Suite
Sister Christian,Night Ranger
Method of Modern Love,Hall & Oates
So You Ran,Orion The Hunter
Stranger In Town,Toto
Rockin' At Midnight,The Honeydrippers
Legs,ZZ Top
We Belong,Pat Benatar
Magic,The Cars
Show Me,The Pretenders
Do They Know It's Christmas?,Band Aid
Tears,John Waite
Flesh For Fantasy,Billy Idol
Lay Your Hands on Me,Thompson Twins
Panama,Van Halen
I Can't Drive 55,Sammy Hagar
Rebel Yell,Billy Idol
A Fine Fine Day,Tony Carey
Modern Day Delilah,Van Stephenson
Hard Habit to Break,Chicago
Reunited,Greg Kihn Band
Valotte,Julian Lennon
When The Lady Smiles,Golden Earring
I'll Wait,Van Halen
Tender Years,John Cafferty and the Beaver Brown Band
Call to the Heart,Giuffria
Beat Of A Heart,Scandal featuring Patty Smyth
All Night Long,Billy Squier
Midnite Maniac,Krokus
"The More You Live, The More You Love",A Flock Of Seagulls
Let's Go Crazy,Prince and the Revolution
You're the Inspiration,Chicago
The Last In Line,Dio
All Lovers Are Deranged,David Gilmour
If This Is It,Huey Lewis & the News
Purple Rain,Prince and the Revolution
Heaven's On Fire,KISS
High on You,Survivor
Perfect Strangers,Deep Purple
Looks That Kill,Motley Crue
You Can't Get What You Want (Till You Know What You Want),Joe Jackson
Girls,Dwight Twilley
Little Lady,Duke Jupiter
Smuggler's Blues,Glenn Frey
Stranger,Stephen Stills
Remember The Nights,The Motels
Murder,David Gilmour
Money for Nothing,Dire Straits
Kyrie,Mr. Mister
The Old Man Down The Road,John Fogerty
Don't You (Forget About Me),Simple Minds
Silent Running (On Dangerous Ground),Mike + the Mechanics
I Want To Know What Love Is,Foreigner
If You Love Somebody Set Them Free,Sting
Lonely Ol' Night,John Cougar Mellencamp
West End Girls,Pet Shop Boys
You Belong to the City,Glenn Frey
Tonight She Comes,The Cars
Everybody Wants to Rule the World,Tears for Fears
Call To The Heart,Giuffria
We Built This City,Starship
St. Elmo's Fire (Man in Motion),John Parr
Back In Time,Huey Lewis and the News
Sleeping Bag,ZZ Top
All She Wants to Do Is Dance,Don Henley
Fortress Around Your Heart,Sting
Satisfaction Guaranteed, The Firm
My Hometown,Bruce Springsteen
Alive and Kicking,Simple Minds
Take on Me,a-ha
Trapped,Bruce Springsteen
Somebody,Bryan Adams
Life in a Northern Town,The Dream Academy
Take Me Home,Phil Collins
Broken Wings,Mr. Mister
Stages,ZZ Top
Easy Lover,Philip Bailey (with Phil Collins)
Rebels,Tom Petty and the Heartbreakers
Sara,Starship
People Get Ready,Jeff Beck & Rod Stewart
One More Night,Phil Collins
Lucky In Love,Mick Jagger
Material Girl,Madonna
Small Town,John Cougar Mellencamp
Sanctify Yourself,Simple Minds
Just Another Night,Mick Jagger
Would I Lie to You?,Eurythmics
Naughty Naughty,John Parr
Shout,Tears For Fears
Dancing in the Street,David Bowie and Mick Jagger
Angel,Madonna
Knocking At Your Back Door,Deep Purple
Sunset Grill,Don Henley
Go,Asia
Tough All Over,John Cafferty & the Beaver Brown Band
Never,Heart
Men Without Shame,"Phantom, Rocker & Slick"
High On You,Survivor
Glory Days,Bruce Springsteen
Can't Stop Rockin',ZZ Top
Forever Man,Eric Clapton
One World,Dire Straits
Walk of Life,Dire Straits
The Power of Love,Jennifer Rush
Tonight It's You,Cheap Trick
The Confessor,Joe Walsh
Day by Day,The Hooters
Living in America,James Brown
Lonely At The Top,Mick Jagger 
C-I-T-Y,John Cafferty and the Beaver Brown Band
I'm on Fire,Bruce Springsteen
Little by Little,Robert Plant
Drivin' With Your Eyes Closed,Don Henley
Radioactive,The Firm
Under A Raging Moon,Roger Daltrey
Shame,The Motels
Something About You,Level 42
Let's Talk About Me,Alan Parsons Project
Don't Come Around Here No More,Tom Petty and the Heartbreakers
Spellbound,Triumph
Along Comes A Woman,Chicago
Too Late For Goodbyes,Julian Lennon
Nikita,Elton John
This Is Not America,David Bowie & Pat Metheny Group
And She Was,Talking Heads
Why Can't I Have You,The Cars
This Time,INXS
California Girls,David Lee Roth
Dress You Up, Madonna
All You Zombies,Hooters
